2001-06-14/20:51:40	2001-06-14/21:18:00
2002-09-01/22:50:00	2002-09-01/23:30:20
2002-09-04/05:27:00	2002-09-04/06:11:40
2002-09-06/14:30:00	2002-09-06/15:13:20
2002-09-11/08:47:00	2002-09-11/09:06:40
2002-09-11/15:21:20	2002-09-11/15:53:40
2002-09-11/17:30:00	2002-09-11/17:44:00
2002-09-11/19:15:40	2002-09-11/19:47:20
2002-09-14/01:14:00	2002-09-14/01:52:00
2002-09-14/04:04:00	2002-09-14/04:24:00
2002-09-14/09:06:40	2002-09-14/09:28:40
2002-09-18/09:39:20	2002-09-18/10:43:00
2002-09-18/13:08:00	2002-09-18/13:28:20
2002-09-18/22:57:00	2002-09-18/23:20:00
2002-09-30/05:53:40	2002-09-30/06:23:00
2002-10-02/21:12:20	2002-10-02/21:32:20
2002-10-03/00:46:40	2002-10-03/01:22:20
2002-10-05/02:46:40	2002-10-05/03:19:00
2002-10-07/07:33:00	2002-10-07/08:21:00
2002-10-07/12:55:00	2002-10-07/13:47:00
2002-10-07/15:44:00	2002-10-07/16:27:20
2002-10-09/17:10:00	2002-10-09/17:24:40
2002-10-09/17:35:00	2002-10-09/18:02:40
2002-10-09/20:37:40	2002-10-09/21:14:00
2002-10-14/13:47:20	2002-10-14/14:52:40
2002-10-16/18:21:20	2002-10-16/18:37:40
2002-10-16/20:47:40	2002-10-16/21:32:00
2002-10-17/02:52:40	2002-10-17/03:14:20
2002-10-19/18:53:00	2002-10-19/19:23:20
2002-10-19/21:00:00	2002-10-19/21:29:00
2002-10-21/16:08:20	2002-10-21/16:50:20
2002-10-21/17:02:00	2002-10-21/17:37:20
2002-10-22/00:32:00	2002-10-22/01:02:40
2002-10-22/09:51:00	2002-10-22/10:21:40
2002-10-24/00:01:00	2002-10-24/00:54:00
2002-10-24/03:56:20	2002-10-24/04:21:40 
2002-10-24/05:42:00	2002-10-24/06:09:40
2002-10-24/13:57:40	2002-10-24/14:35:20
2002-10-26/06:41:40	2002-10-26/07:33:40
2002-10-26/09:08:00	2002-10-26/09:42:40
2002-10-26/12:04:00	2002-10-26/12:31:40
2002-10-26/16:33:00	2002-10-26/18:02:20
2002-10-26/21:37:00	2002-10-26/22:10:20
2002-10-28/18:36:00	2002-10-28/18:57:40
2002-10-28/21:53:00	2002-10-28/22:28:40
2002-10-29/04:43:00	2002-10-29/05:38:40
2002-10-31/13:35:40	2002-10-31/13:59:20
2002-10-31/16:47:20	2002-10-31/17:19:00
2002-10-31/19:08:00	2002-10-31/19:44:20
2002-11-02/09:58:00	2002-11-02/10:40:00
2002-11-02/19:09:00	2002-11-02/20:19:20
2002-11-02/21:36:40	2002-11-02/22:10:20
2002-11-04/22:13:20	2002-11-04/22:57:40
2002-11-07/08:56:40	2002-11-07/09:58:20
2002-11-07/13:42:20	2002-11-07/14:07:40
2002-11-07/18:53:20	2002-11-07/19:14:40
2002-11-07/21:32:00	2002-11-07/22:03:40
2002-11-07/22:36:00	2002-11-07/23:10:40
2003-06-24/11:58:00	2003-06-24/13:02:00
2003-07-01/04:38:40	2003-07-01/05:30:00
2003-07-01/07:07:00	2003-07-01/08:27:40
2003-07-04/04:38:20	2003-07-04/05:12:20
2003-07-11/00:04:00	2003-07-11/00:38:20
2003-07-11/03:05:00	2003-07-11/03:37:40
2003-07-11/08:18:40	2003-07-11/09:04:00
2003-07-13/01:22:00	2003-07-13/01:41:20
2003-07-13/02:14:40	2003-07-13/03:16:40
2003-07-13/06:19:00	2003-07-13/08:10:20
2003-07-14/23:40:00	2003-07-15/01:27:20
2003-07-15/04:25:00	2003-07-15/05:25:20
2003-07-16/06:51:40	2003-07-16/07:47:10
2003-07-17/21:30:00	2003-07-17/22:37:00
2003-07-18/02:25:40	2003-07-18/03:07:20
2003-07-19/18:04:20	2003-07-19/18:55:40
2003-07-27/06:20:20	2003-07-27/06:56:40
2003-07-29/18:02:40	2003-07-29/18:38:20
2003-07-30/05:16:00	2003-07-30/05:34:00
2003-07-30/12:12:40	2003-07-30/12:58:20
2003-08-01/02:34:00	2003-08-01/03:54:20
2003-08-01/05:07:40	2003-08-01/06:01:00
2003-08-01/10:28:50	2003-08-01/12:37:40
2003-08-01/13:46:40	2003-08-01/14:33:00
2003-08-01/17:01:00	2003-08-01/17:19:00
2003-08-01/17:51:20	2003-08-01/18:25:40
2003-08-03/18:58:00	2003-08-03/19:26:00
2003-08-03/21:00:40	2003-08-03/21:39:20
2003-08-06/00:52:00	2003-08-06/01:08:00
2003-08-06/02:47:00	2003-08-06/03:22:00
2003-08-06/06:32:20	2003-08-06/07:07:20
2003-08-06/10:03:40	2003-08-06/10:32:00
2003-08-07/21:00:50	2003-08-07/21:54:40
2003-08-08/02:06:00	2003-08-08/03:11:00
2003-08-08/04:47:20	2003-08-08/05:30:00
2003-08-08/07:42:40	2003-08-08/08:03:20
2003-08-08/17:13:40	2003-08-08/17:43:00
2003-08-12/16:40:00	2003-08-12/17:25:00
2003-08-12/19:47:40	2003-08-12/21:13:20
2003-08-13/02:57:00	2003-08-13/03:23:00
2003-08-13/13:18:40	2003-08-13/13:50:40
2003-08-18/00:42:00	2003-08-18/01:22:20
2003-08-18/03:56:20	2003-08-18/04:58:20
2003-08-18/06:27:00	2003-08-18/07:12:40
2003-08-20/06:07:00	2003-08-20/06:59:00
2003-08-22/03:41:20	2003-08-22/04:27:00
2003-08-22/08:22:20	2003-08-22/08:44:00
2003-08-22/11:36:00	2003-08-22/12:21:40
2003-08-22/16:18:00	2003-08-22/17:02:00
2003-08-22/20:09:20 	2003-08-22/20:51:40
2003-08-23/02:50:00	2003-08-23/03:34:00
2003-08-24/18:32:00	2003-08-24/19:16:20
2003-08-25/02:27:00	2003-08-25/03:16:00
2003-08-25/04:17:00	2003-08-25/04:52:20
2003-08-25/06:10:00	2003-08-25/06:42:20
2003-08-27/09:30:00	2003-08-27/09:49:00
2003-08-29/12:38:40	2003-08-29/13:33:20
2003-08-29/18:09:00	2003-08-29/18:29:20
2003-09-01/04:51:40	2003-09-01/06:03:20
2003-09-03/08:38:00	2003-09-03/08:58:20
2003-09-03/18:22:40	2003-09-03/19:07:40
2003-09-05/14:35:00 	2003-09-05/15:32:00 
2003-09-10/12:15:40	2003-09-10/12:35:00
2003-09-10/16:45:40	2003-09-10/17:30:20
2003-09-10/20:24:40	2003-09-10/21:17:20
2003-09-11/03:31:40	2003-09-11/04:01:00
2003-09-13/00:16:40	2003-09-13/00:49:20
2003-09-17/12:48:20	2003-09-17/13:53:00
2003-09-17/17:32:40	2003-09-17/18:23:40
2003-09-17/20:43:40	2003-09-17/21:25:40
2003-09-18/00:07:40	2003-09-18/00:22:40
2003-09-19/18:17:40	2003-09-19/18:44:00
2003-09-19/23:23:00	2003-09-19/23:46:20
2003-09-20/04:03:00	2003-09-20/04:35:20
2003-09-20/08:02:20	2003-09-20/08:44:20
2003-09-22/12:25:00	2003-09-22/12:43:40
2003-09-24/14:12:40	2003-09-24/15:03:00
2003-09-24/19:42:00	2003-09-24/20:06:00
2003-09-25/03:10:00	2003-09-25/04:29:00
2003-09-25/04:08:40	2003-09-25/04:24:20
2003-10-01/20:07:40	2003-10-01/20:39:00
2003-10-04/05:39:00	2003-10-04/06:32:40
2003-10-06/18:00:00	2003-10-06/18:17:00
2003-10-07/00:28:40	2003-10-07/01:18:00
2003-10-08/21:02:40	2003-10-08/21:48:00
2003-10-08/23:42:00	2003-10-09/00:14:00
2003-10-13/11:14:40	2003-10-13/11:50:40
2003-10-15/21:36:00	2003-10-15/21:54:00
2003-10-16/00:27:40	2003-10-16/00:48:40
2003-10-16/06:46:40	2003-10-16/07:02:00
2003-10-18/04:21:40	2003-10-18/05:06:30
2003-10-18/07:53:00	2003-10-18/08:42:00
2003-10-20/15:17:10	2003-10-20/15:33:00
2003-10-20/19:17:40	2003-10-20/19:43:40
2003-10-20/21:02:00	2003-10-20/21:51:20
2003-10-20/22:49:00	2003-10-20/23:34:00
2003-10-21/04:38:40	2003-10-21/05:09:40
2003-10-25/16:27:40	2003-10-25/17:05:00 
2003-10-25/21:12:30	2003-10-25/21:52:00
2003-11-01/14:12:00	2003-11-01/14:43:00
2003-11-01/21:02:00	2003-11-01/21:58:00
2003-11-02/04:12:40	2003-11-02/04:44:00
2003-11-11/03:36:20	2003-11-11/04:23:00
2003-11-13/11:55:40	2003-11-13/12:52:20
2003-11-13/13:47:30	2003-11-13/14:27:20
2004-07-01/10:30:00	2004-07-01/11:33:00
2004-07-02/22:49:00	2004-07-03/00:12:00
2004-07-03/12:23:20	2004-07-03/13:22:40
2004-07-05/23:00:20	2004-07-05/23:54:00
2004-07-06/04:29:00	2004-07-06/05:39:00
2004-07-10/10:58:20	2004-07-10/12:08:20
2004-07-10/16:09:40	2004-07-10/17:05:40
2004-07-12/20:48:40	2004-07-12/21:33:40
2004-07-13/00:32:00	2004-07-13/00:59:00
2004-07-14/23:54:00	2004-07-15/00:38:20
2004-07-19/21:12:40	2004-07-19/21:33:20
2004-07-20/15:04:00	2004-07-20/15:44:20
2004-07-22/20:28:00	2004-07-22/20:48:20
2004-07-24/15:12:30	2004-07-24/15:29:00 
2004-07-24/17:51:20	2004-07-24/18:47:40
2004-07-24/23:03:20	2004-07-24/23:43:20
2004-07-25/01:01:00	2004-07-25/01:25:00 
2004-07-25/04:27:40	2004-07-25/05:08:00
2004-07-25/06:49:00	2004-07-25/07:08:00
2004-07-29/06:22:00 	2004-07-29/07:22:40
2004-08-02/22:44:00	2004-08-03/00:02:30
2004-08-03/03:02:30	2004-08-03/04:35:40
2004-08-03/07:41:00	2004-08-03/10:08:00
2004-08-05/11:59:00	2004-08-05/12:31:00
2004-08-07/19:43:00	2004-08-07/21:08:00
2004-08-07/22:57:40	2004-08-07/23:24:40
2004-08-09/22:37:40	2004-08-09/23:24:10
2004-08-10/13:57:20	2004-08-10/14:34:40
2004-08-12/23:15:00	2004-08-13/00:12:00
2004-08-20/01:41:40	2004-08-20/02:07:20
2004-08-20/02:55:00	2004-08-20/03:24:00
2004-08-20/03:58:20	2004-08-20/04:26:00
2004-08-21/18:17:40	2004-08-21/20:03:40
2004-08-21/21:29:40	2004-08-21/22:06:00
2004-08-24/12:16:40	2004-08-24/12:38:00
2004-08-26/22:37:00	2004-08-26/23:38:20
2004-08-31/15:17:20	2004-08-31/15:44:40
2004-08-31/16:35:20	2004-08-31/18:08:00
2004-09-01/01:51:00	2004-09-01/02:23:00
2004-09-03/01:08:20	2004-09-03/01:43:00
2004-09-09/22:39:40	2004-09-09/23:13:40
2004-09-14/15:09:20	2004-09-14/15:58:40
2004-09-14/18:19:40	2004-09-14/18:56:20
2004-09-14/22:40:00	2004-09-14/23:10:20
2004-09-15/00:40:00	2004-09-15/01:16:20
2004-09-16/22:18:00	2004-09-16/23:03:00 
2004-09-17/01:14:40	2004-09-17/01:55:20
2004-09-17/04:00:40	2004-09-17/04:28:40
2004-09-17/06:49:40	2004-09-17/07:43:00
2004-09-22/07:37:00	2004-09-22/08:45:40
2004-10-03/13:00:00	2004-10-03/13:36:20
2004-10-03/17:45:20	2004-10-03/18:21:40
2004-10-03/20:57:40	2004-10-03/21:16:40
2004-10-06/03:14:20	2004-10-06/03:57:20
2004-10-08/14:53:20	2004-10-08/16:17:00
2004-10-13/05:02:00	2004-10-13/05:32:40
2004-10-15/12:59:00	2004-10-15/13:27:40
2004-10-15/20:10:40	2004-10-15/20:46:40
2004-10-16/01:00:20	2004-10-16/01:20:00
2004-10-20/23:33:20	2004-10-21/00:33:00
2004-10-22/16:38:40	2004-10-22/17:51:20
2004-10-25/02:28:00	2004-10-25/03:10:20
2004-10-25/09:04:00	2004-10-25/09:22:00
2004-10-30/00:37:40	2004-10-30/01:35:20
2004-11-01/13:39:00	2004-11-01/14:54:00
2004-11-03/17:29:00	2004-11-03/18:48:00
2004-11-03/20:21:20	2004-11-03/20:48:20
2004-11-10/16:56:00	2004-11-10/17:22:40
2004-11-10/20:21:20	2004-11-10/21:07:00
2004-11-11/00:57:00	2004-11-11/01:29:00
2004-11-13/05:25:00	2004-11-13/06:21:00
